Four Digit,Previous Edition,Current Year,Course (Shaded by author), 2025 Pages ," Fl, PC, Em, H pgf ",NOTES, Santucci Title: ,CFP,CPA, EA OTRP , ERPA , CDFA ,CIMA CPWA RMA,IAR,IAR #,$ PDF or Exam Only,$ Print,$ per PDF CPE,Annual Update (Launch),Exam Changes?,Subs Updates, CFP Board # , EA # , ERPA # ,CFP CE  Calc,CPA CPE Calc,CFP Words,CPA words,Rev Q,Exam Q,Min. No. Exam Q,IAR Words,IAR Q,CFP  Subj,CPA  Subj,TX Subject Code,Previous CFP Cr ,Previous CPA Cr , Previous EA OTRP ERP Cr  , Previous CDFA Cr  , Notes ,Notes, ,,,,,,,,
3747,,374724,Guide to the Financial Markets,,f,,, 2.0 ,3.0,,, 3 ,3.0,,, 35 , 47 ,,3/15/24,New,,324050,,,2.45,,22011,,9,15,,,,,Finance,,,,,,,7/1/24: Launched IWI/CIMA version,,,,,,,,,
3683,368320,368323,Health Care Accounting,,F,,,,12.0,, 85 ,,,,, 85 , 109 ,,5/2/23,Yes,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3633,363321,363324,Hospitality Accounting,,,,,,19.0,, 135 ,,,,, 125 , 155 ,7,1/8/24,No,,na,,,,,,,57,95,,,,,Accounting,01,,,,,,"7/12/22: three addl questions, 2.5 up from 2.",,,,,,,,,
3762,,376224,How to Audit Benefit and Compensation Plans,,,,,,1.0,,,,,,, 15 , 27 ,,3/19/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3690,,369024,How to Audit Cash,,,,,,1.0,,,,,,, 15 , 27 ,,2/13/24,New,,na,,,,,,,,,,,,,Auditing,02,,,,,,,,,,,,,,,
3694,,369424,How to Audit Equity,,,,,,1.0,,,,,,, 15 , 27 ,,2/13/24,New,,na,,,,,,,,,,,,,Auditing,02,,,,,,,,,,,,,,,
3684,368420,368423,How To Audit Fixed Assets,,,,,,2.0,, 25 ,,,,, 25 ,37,,6/14/23,None,,na,,,,,,,,,,,,,Auditing,02,,,,,,,,,,,,,,,
3696,,369624,How to Audit for Fraud,,,,,,3.0,,,,,,, 35 , 47 ,,2/23/24,New,,na,,,,,,,,,,,,,Auditing,02,,,,,,,,,,,,,,,
3764,,376424,How to Audit for Procurement,,,,,,1.0,,,,,,, 15 , 27 ,,3/19/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3699,,369924,How to Audit Inventory,,,,,,2.5,,,,,,,29, 41 ,,2/14/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3702,,370224,How to Audit Liabilities,,,,,,1.0,,,,,,, 15 , 27 ,,2/14/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3751,375124,375125,How to Audit Outsourced Functions,,,,,,1.0,,,,,,, 15 , 27 ,,12/24/24,No,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3752,375224,375225,How to Audit Payroll,,,,,,1.0,,,,,,, 15 , 27 ,,4/28/25,No,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3703,,370324,How to Audit Receivables,,,,,,2.0,,,,,,, 25 ,37,,2/15/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3780,,378024,How to Audit Revenue,,,,,,2.0,,,,,,, 25 , 37 ,,6/10/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3698,369821,369824,How to Conduct a Compilation Engagement,,,,,,1.0,, 15 ,,,,, 15 , 27 ,,3/11/24,No,,na,,,,,,,,5,,,,,Auditing,02,,,,,,6/7/22: Replaces IFRS Guidebook due to compyright issue with IFRS name.,,,,,,,,,
3763,,376324,How to Conduct a Review Engagement,,f,,,,2.0,,,,,,, 25 ,37,,3/19/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3731,373124,373125,How to Conduct an Audit Engagement,,,,,,17.0,,,,,,, 119 , 149 ,,3/11/25,No,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3674,367422,,How to Run a Meeting,,F,,,,2.5,, 30 ,,,,,29, 41 ,12,7/12/22,Yes,,na,,,,,,,6,10,,,,,Personal Development,, ,,,,"10/3/24: corrected Q 4, addid ""not"" correct.","1/1/19: Increased CFP Cr, same Exam. CFP Cr added 1/1/17  Podcast episode (page 2) references www.bhfe.com.",,,,,,,,,
3798,,379824,How to Write a Business Plan,,,,,,5.0,,,,,,, 49 , 64 ,,9/30/24,New,,,,,,,,,,,,,,,Business Management & Organization,,,,,,,,,,,,,,,,
3628,362822,362825,Human Resources Guidebook  ,,F,,,,20.0,, 140 ,,,,, 139 , 169 ,7,12/23/24,No,,na,,,,,," 129,265 ",57,95,,,,,Personnel/HR,,,,,,,,,,,,,,,,
3704,,370424,Information Security for CPAs,,,,,,1.0,,,,,,, 15 , 27 ,,2/15/24,New,,,,,,,,,,,,,,,Information Technoloty,,,,,,,,,,,,,,,,
3736,,373624,Internal Auditing Guidebook,,,,,,10.0,,,,,,,75,93,,2/29/2024,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3657,365723,365725,International Accounting 2025,," F, PC ",,,,25.0,, 175 ,,,,, 174 , 204 ,,10/7/24,No,,na,,,,,,,,,,,,,Accounting,01,,,,,,"2/19/20: went from 14 to 156 cpe, exam q up to 75, review up to 48",,,,,,,,,
3636,363621,363624,Interpretation of Fin. Statements ,," F, PC ",,, 7.5 ,11.0,   , 75 ,11.0,11.0,,, 79 , 97 ,7,2/15/24,No,,257133,,, ,,," 71,222 ",33,55,,,,,Finance,06,,,,,7/1/24: Added IWI/CIMA version,3/18/22: ce increase from 21 to 23 and 10 addl questions,,,,,,,,,
3740,374024,374025,Introduction to Excel,,,,,,3.0,,,,,,, 35 , 47 ,,3/13/25,No,,na,,,,,,,,,,,,,Computer Software & Applications,,,,,,,,,,,,,,,,
3605,360521,360524,Inventory Management    ,,F,,,,15.0,, 100 ,,,,, 105 , 135 ,7,3/11/24,No,,na,,,,,,,45,75,,,,,Production,,,,,,,,,,,,,,,,
3619,361924,361925,Investing Guidebook,,F,,, 5.5 ,7.0,,, 7 ,,,, 59 , 74 ,,4/21/25,No,,320302,,,5.71,,51395,,,35,,,,,Specialized Knowledge,,,,,,,,,,,,,,,,
3775,,377524,Investing in Alternative Assets,,,,, 1.5 ,2.0,,,,,,, 25 ,37,,5/15/24,New,,326268,,,1.53,,13751,,,10,,,,,Specialized Knowledge,,,,,,5/22/24: CFP CE added.,,,,,,,,,,
3618,361820,361823,Investor Relations Guidebook  ,,F,,,,15.0,, 100 ,,,,, 105 , 135 ,7,2/13/23,No,,na,,,,,," 96,080 ",48,75,,,,,Finance,06,,,,,,"12/29/17 exam correction, #58 should be A per author. 12/21/17: had to remover many &#45s and 95s from exam. Also answer key for 23-27 was wrong. 3/1/17: Couldn not upload with &#45; in q 67 and A-removed.",,,,,,,,,
3762,,379624,IRS Collection Activities,,,,,,1.0,,,,,,, 15 , 27 ,,9/27/24,New,,,FWKK0-T-00648-24-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3806,,380624,Islamic Accounting,,,,,,1.0,,,,,,, 15 , 27 ,,11/13/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3744,,374424,Key Performance Indicators,,,,,,1.0,,,,,,, 15 , 27 ,,3/1/24,New,,,,,,,,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3789,,378924,Law Firm Accounting,,,,,,3.0,,,,,,, 35 , 47 ,,8/13/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3825,,382525,Malpractice Issues for CPAs,,,,,,3.0,,,,,,, 35 , 47 ,,7/7/25,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3782,,378224,Management Control Systems,,F,,,,3.0,,,,,,, 35 , 47 ,,7/5/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3727,,372724,Managing Virtual Teams,,,,,,2.0,,,,,,, 25 ,37,,2/26/24,New,,na,,,,,,,,,,,,,Business Management and Organization,,,,,,,,,,,,,,,,
3664,366422,366425,MBA Guidebook ,,F,,,,23.0,, 160 ,,,,, 159 , 189 ,7,3/12/25,No,,na,,,,,," 140,877 ",69,115,2435,,,,Business Management and Organization,13, ,,,,,,,,,,,,,,
3606,360621,360624,Mergers and Acquisitions      ,," F, PC ",,,,19.0,, 135 ,,,,, 149 , 155 ,14,12/14/23,No,,na,,,,,," 122,736 ",57,95,,,,,Finance,06,,,,,,,,,,,,,,,
3794,,379424,Money Laundering Schemes and Detection Methods,,,,,,2.0,,,,,,, 25 , 37 ,,9/10/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3786,,378624,New Manager Guidebook,,,,,,16.0,,,,,,, 109 , 139 ,,8/12/24,New,,,,,,,,,,,,,,,Business Management & Organization,,,,,,,,,,,,,,,,
3706,,370624,Non-GAAP Reporting Essentials,,,,,,1.0,,,,,,, 15 , 27 ,,2/15/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3612,361220,361223,Non-Profit Accounting,,F,,,,16.0,, 110 ,,,,,109,139,7,3/7/23,No,,na,,,,,," 105,919 ",48,80,,,,,Accounting,01,,,,,,,,,,,,,,,
3686,368621,368624,Oil and Gas Accounting,,,,,,9.0,, 65 ,,,,, 69 , 87 ,,4/29/24,No,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3754,,375424,Operations Management,,,,,,18.0,,,,,,, 125 , 155 ,,3/13/24,New,,na,,,,,,,,,,,,,Production,,,,,,,,,,,,,,,,
3761,,376124,Optimal Accounting for Payables,,,,,,1.0,,,,,,, 15 , 27 ,,3/19/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3769,376924,376925,Optimal Accounting for Payroll,,,,,,1.0,,,,,,, 15 , 27 ,,2/22/25,No,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3753,,375324,Order Entry Controls,,,,,,2.0,,,,,,, 25 ,37,,3/13/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3823,,382325,Partnership Accounting,,,,,,1.0,,,,,,, 15 ,27,,6/24/25,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3756,,375624,Payables Controls,,,,,,2.0,,,,,,, 25 ,37,,3/14/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3638,363820,363823,Payables Management,,,,,,10.0,, 70 ,,,,,75,93,8,8/3/23,No,,na,,,,,,,,50,,,,,Accounting,01,,,,,,,,,,,,,,,
3746,,374624,Payroll Controls,,,,,,2.0,,,,,,, 25 ,37,,3/11/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3607,360724,360725,Payroll Management ,,F,,,,14.0,, 100 ,,,,, 99 , 125 ,7,12/23/24,No,,na,,,,,," 88,999 ",42,70,,,,,Accounting,01,,,,,,"2017 updated included chgs to Q 12, 44, 46.",,,,,,,,,
3811,381124,381125,Professional Rules of Conduct,,,,,,2.0,,,,,,, 25 , 37 ,,12/10/2024,No,,,,,,,,,,,,,,,Regulatory Ethics,,,,,,,,,,,,,,,,
3632,363220,363224,Project Accounting,,,,,,3.0,, 35 ,,,,, 35 , 47 ,12,10/5/23,No,,na,,,,,," 22,351 ",10,15,,,,,Accounting,01,,,,,,2022: CPE reduced from 11 to 9 and course rewritten. 2021: went up to 11 CPE from 10,,,,,,,,,
3673,367322,367325,Project Management,,,,,,14.0,, 100 ,,,,, 99 , 125 ,,6/24/25,No,,na,,,,,,,,,,,,,Mgt Services, ,,,,,,,,,,,,,,,
3788,,378824,Property Management Accounting,,,,,,1.0,,,,,,, 15 , 27 ,,8/13/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3759,,375924,Purchasing Guidebook,,,,,,14.0,,,,,,, 99 , 125 ,,3/18/24,New,,na,,,,,,,,,,,,,Production,,,,,,,,,,,,,,,,
3640,364022,364024,Real Estate Accounting,,F,,,,9.0,, 65 ,,,,, 69 , 87 ,8,9/6/24,Same,,na,,,,,,   ,30,50,,,,,Accounting,01,,,,,,,,,,,,,,,
3742,374224,374225,Real Estate Investing,,,,, 5.5 ,7.0,,, 7 ,7.0,,, 59 , 74 ,,10/7/24,Same,,323729,,,5.97,,53744,,21,35,,,,,Specialized Knowledge,,,,,,7/5/24: added CIMA IWI version,,,,,,,,,,
3802,380224,380225,Real Estate Tax Guide,,,,,,2.5, 2.0 ,,,,,, 29 ,41,,2/22/25,No,,FWKK0-T-00664-25-S,,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3760,,376024,Receiving Controls,,,,,,2.0,,,,,,, 25 ,37,,3/19/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3815,,381525,Recruiting and Hiring,,,,,,4.0,,,,,,, 35 , 57 ,,5/9/25,New,,,,,,,,,,,,,,,Personnel/HR,,,,,,,,,,,,,,,,
3689,368923,368925,Retail Management,,F,,,,14.0,,,,,,, 99 , 125 ,7,12/24/24,Same,,,,,,,,,,70,,,,,Business Management and Organization,13,,,,,,,,,,,,,,,
3616,361620,361623,Revenue Recognition,,,,,,4.0,, 45 ,,,,, 45 , 57 ,11,3/7/23,Same,,na,,,,,,,12,20,,,,,Accounting,01,,,,,,,,,,,,,,,
3680,368021,368023,Sales and Use Tax Accounting,47,,,,,2.0,, 25 ,,,,, 25 ,37,,1/20/23,Same,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3804,,380424,Segment Reporting Essentials,,,,,,1.0,,,,,,,15,27,,11/12/24,New,,,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3774,377425,377425-2,Small Business Tax Guide,,, CFP: Overview , 2025: , 7.5 ,10.0, 10.0 ,,,,,,75,93,,4/28/25,Yes,2025:,332325,FWKK0-T-00711-25-S,,,,,,,,,,,,Taxes,,,,,,This version 377425 is actually a 2024 version. Will need to use -2 # in spring of 2025 when updated.,,,,,,,,,,
3770,,377024,Standard Costs and Variance Analysis,,,,,,1.0,,,,,,, 15 , 27 ,,3/21/24,New,,na,,,,,,,,,,,,,Accounting,,,,,,,,,,,,,,,,
3655,365521,365524,Statement of Cash Flows,,,,,,2.0,, 25 ,,,,, 25 ,37,13,4/29/24,Same,,na,,,,,," 12,933 ",6,10,360,,,,Accounting,01,,,,,,,,,,,,,,,
3682,368220,368223,Succession Planning,,,,,,3.0,, 35 ,,,,, 35 , 47 ,,7/10/21,Same,,na,,,,,,,,,,,,,Personnel/HR,, ,,,,,,,,,,,,,,
3805,,380524,The Audit Risk Model,,,,,,1.0,,,,,,, 15 , 27 ,,11/12/24,New,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3768,376824,376825,Tax Research Techniques,,,,,,1.0,,,,,,, 15 , 27 ,,3/21/202412/24/24,No,,2024-2025 irs #:,FWKK0-T-00649-24-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3693,369321,369324,The Balance Sheet,,,,,,2.0,, 25 ,,,,, 25 ,37,,1/8/2024,No,,na,,,,,,,,,,,,,Accounting,01,,,,,,,,,,,,,,,
3732,,373224,The Green Book Explained,,,,,,2.0,,,,,,, 25 ,37,,2/27/24,New,,na,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3695,369521,369524,The Income Statement,,,,,,2.0,, 25 ,,,,, 25 ,37,,2/16/24,No,,na,,,,,," 12,865 ",6,10,,,,,Accounting,01,,,,,,,,,,,,,,,
3620,362020,362023,The New Controller Guidebook,,F,,,,18.0,, 125 ,,,,, 125 , 155 ,7,5/2/23,No,,na,,,,,," 116,211 ",54,90,,,,,Accounting,01,,,,,,,,,,,,,,,
3645,364521,364524,The Year End Close,,,,,,3.0,, 35 ,,,,, 35 , 47 ,12,7/16/24,No,,na,,,,,,0.75,9,15,,,,,Accounting,01,,,,,,,,,,,,,,,
3738,373824,373825,The Yellow Book Explained,,,,,,4.0,,,,,,, 45 , 57 ,,3/11/25,Yes,,,,,,,,,,,,,,,Auditing,,,,,,,,,,,,,,,,
3652,365221,365224,Treasurer's Guidebook ,,F,,,,16.0,, 110 ,,,,,109,139,7,8/9/24,No,,na,,,,,," 96,624 ",48,80,10207,,,,Finance,06,,,,,,,,,,,,,,,
3812,,381224,Unethical Behavior,,,,,,2.0,,,,,,, 25 , 37 ,,12/10/24,New,,,,,,,,,,,,,,,Behavioral Ethics ,,,,,,,,,,,,,,,,
3707,,370724,Understanding Organizational Behavior,,,,,,13.0,,,,,,, 89 , 115 ,,2/15/24,New,,,,,,,,,,,,,,,Business Management & Organization,,,,,,,,,,,,,,,,
3637,,363724,Virtual Currency Taxation,,,,,,1.0,,,,,,, 15 , 27 ,,12/22/23,New,,,FWKK0-T-00619-24-S,,,,,,,,,,,,Taxes,,,,,,,,,,,,,,,,
3679,367924,367924-2,Wealth Management,,F,,, 6.0 ,8.0,,, 8 ,8.0,,,65,83,8,7/16/24,No,,319457,,,,,,,24,40,,,,FP,Specialized Knowledge,,,,,,,7/5/24: added CIMA IWI version,,,,,,,,,
3650,365021,365024,Working Capital Management   ,,,,,,5.0,, 50 ,,,,, 49 , 64 ,10,8/9/24,No,,na,,,,,,0.75,,25,,,,,Management Services,06,,,,,,,,,,,,,,,
4966,496624-2,496625,1040 Workshop,, PC , CFP from 20 to 18.5 in 2025 ,, 18.5 , 24.5 , 24.0 ,,,,,,164,194,8,1/16/25,Yes,,332327,FWKK0-T-00650-25-S,na, 18.3 , 26.47 ," 164,347 "," 121,710 ",200,150,30,,,T,Taxes,00,,,,,12/27/24: Q 48 had no answer key. Fixed.,"2/6/24 author edit to rev q 114. 11/.4/23: CPE posted was 28, shoud have been 24.5 and 214. Reposted pdfs and re-registered irs. No sales of 28 cpe occurred. 1/17/23: Per author, stopped selling to IRS mkt due to bad review (#FWKK0-T-00514-23-S). Created CPA, CFP only # 496623-2.Resume with 2024 edition. 6/14/20: 2020 EXAM NEVER UPDATED. cORRECTED ALL. 6/12/20: Correct answer for Q26 is C, not B.",,,,,,,,,
4901,490124,490125,Asset Protection: Tax Strategies ,," F, PC ",, ASSETPRO , 12.0 , 17.5 , 17.0 ,,,,,,125,155,9,4/10/2025,same,,195321,FWKK0-T-00703-25-S,na, 12.5 , 17.91 ," 112,242 "," 81,299 ",120,120,24,,,T,Taxes,03,,,,,,DF: 5/4/17: CDFA credit set to 1.5 per IDFA,,,,,,,,,
4922,492224,492225,Auto Rules       ,, F ,, AUTOS ,, 2.0 , 2.0 ,,,,,,25,37,19,3/6/25,No,,na,FWKK0-T-00669-25-S,na,2.21, 2.79 ," 19,908 "," 18,438 ",10,10,2,,,T,Taxes,03,,,,,,"6/5/24: edit (""2024"") page 10. 4/11/23: updated added 19 words. 4/5/16:Santucci updates of auto lease inclusion table p30",,,,,,,,,
4972,,497225,Big Beautiful Bill: Suummary of Selected Tax Provisions,,,,, 3.5 , 4.0 ,,,,,,,,,,7/18/25,New,,339149,FWKK0-T-00719-25-S,,3.52, 4.44 ," 31,711 "," 26,616 ",20,20,,,,,Taxes,03,,,,,,"7/15/25: Auhor edits: Exam Q 6 rewritten; Review answers for 7d, 9d, 12d corrected (duplicate incorrect or correct).",,,,,,,,,
4923,492324,492325,Business Travel & Entertainment,, F ,, BUSTRAV ,, 2.0 , 2.0 ,,,,,,25,37,19,3/6/25,No,,nq,FWKK0-T-00670-25-S,na, -  , 2.16 ,," 12,742 ",10,10,2,,,T,Taxes,03,,,,,,"1/30/18-upldoaded exam, several edits.",,,,,,,,,
4925,492524,492525,Comprehensive Family Tax Planning,, F ,, FAMILY , 22.0 , 24.0 , 24.0 ,,,,,,164,194,8,3/18/25,No,,335281,FWKK0-T-00676-25-S,na,22.13, 27.72 ," 199,195 "," 169,571 ",120,120,,,,T,Taxes,03,,,,,,"7/30/24: 7/29 author exam update done. 5/8/23: 20-23 minus 4,638 words.",,,,,,,,,
4960,496024,496025,Comprehensive Tax Course on Retirement Planning,," F, PC ",, FASTMEGA , 22.0 , 31.5 , 31.0 , 31.0 ,,,,,199,229,7,3/17/25,Yes,,257119,FWKK0-T-00683-25-S,FWKK0-Q-00682-25-S, 22.3 , 31.54 ," 200,640 "," 150,623 ",200,200,40,,,T,Taxes,03,,,,,,"8/4/34: Plus 178 words for update. 6/9/22: Author update text only. 10/10/19: missing answers to review q resotored. 1/1/19 : Increased CFP Cr, same Exam. 7/11/17: DF: corrected q 143 on exam per cust inquirieBad chart-p 10-16. Exam edit #182 Replace Lower with 10%, highest with initial. 2015 version has been updated.",,,,,,,,,
4961,496124,496125,Concepts & Mechanics of Exchanges,,,, CME , - , 13.5 , 13.0 ,   ,,,,, 99 , 125 ,9,4/30/25,No,,na,FWKK0-T-00714-25-S,na, -  , 13.73 ,," 70,308 ",80,80,16,,,T,Taxes,03,,,,,,"5/23/25: Realized 2025 ed never published or made exam category. Also CPE should have been 13.5 for 2024 and 2025.9/12/24: Author's edit of Q 71. 7/31/23: 1,000 fewer words.",,,,,,,,,
4962,496224,496225,Corporate Tax Planning,,,, CORP , - , 21.0 , 21.0 ,,,,,,149,179,9,4/29/25,Yes,,na,FWKK0-T-00712-25-S,na,   , 21.03 ,   ," 105,984 ",125,125,25,,,T,Taxes,03,,,,,,4/5/16: Author update of Corp Return Duedate p 1-24,,,,,,,,,
4910,491024,491025,Divorce Tax Planning,," F, PC ",, DIVORCE , 10.0 , 15.5 , 15.0 ,, 16.0 ,,,,109,139,9,3/5/25,No,,195326,FWKK0-T-00666-25-S,na, 10.3 , 15.83 ," 92,607 "," 62,540 ",120,120,24,,,T,Taxes,03,,,,,,7/30/24: 7/29 author exam update done.11/1/23: See if CFP changes in 2024 then increase CE if needed in 2025. 6/26/23: Author word count totals 16.5 cpe but rounding makes it 16.45. 4/8/16 revised rev q 12 uploaded.,,,,,,,,,
4924,492424,492425,Divorce Transfers & Settlements  , 67.0 , F ,, DIVORCE , 2.0 , 2.0 , 2.0 ,, 2.0 ,,,,25,37,19,1/10/25,no,,278342,FWKK0-T-00596-24-S,na,2.16, 2.63 ," 19,400 "," 16,990 ",10,10,2,,,T,Taxes,03,,,,,,"1/1/21: increased cfp cr to 2 from 1.5, pdfs, exam pdf, and cfp id updated.1/1/19 : Increased CFP Cr, same Exam. CPA course be 2.5, but only ten questions.. . ",,,,,,,,,
4911,491124,491125,Estate Planning Tax Strategies ,," F, PC ",, ITS95  , 14.5 , 19.5 , 19.0 ,,,,,,135,165,8,4/2/25,yes,,310425,FWKK0-T-00702-25-S,na, 14.3 , 19.63 ," 128,360 "," 96,737 ",120,120,24,,,T,Taxes,03,,,,,,7/30/24: 7/29 author exam update done.5/8/23: 2023 ed. plus 30 words.,,,,,,,,,
4915,491524,491525,Family Tax Planning, Check CFP CE for 26 ,,, FAMILY , 2.0 , 2.0 , 2.0 ,, 2.0 ,,,,25,37,19,2/7/25,yes,,298400,FWKK0-T-00662-25-S,na,1.88, 2.47 ," 16,950 "," 15,571 ",10,10,2,,,T,Taxes,03,,,,,,3/14/19: reduced exam from 20 to 10.3/11/18-inflation adjustment changes added.,,,,,,,,,
4918,,491825,Federal Income Tax Update 2025-2024,,,, EASYUP , 6.0 , 6.0 , 6.0 ,Only 6 CPA due to only 30 Exam Q,,,,,,,,1/22/25,Edits,,333439,FWKK0-U-00652-25-S,,6.28, 8.25 ,56551,54233,30,30,,,,t,,,,,,,,,,,,,,,,,
4918,,491824,Federal Income Tax Update 2024-2023,,,, EASYUP , 6.0 , 6.0 , 6.0 ,,,,,, 54 ,69,,1/8/2024,,,321638,FWKK0-U-00573-24-S,,6.29, 8.25 ,56606," 54,287 ",30,30,,,,,Taxes,,,,,,,,,,,,,,,,
4905,490524,490525,Financial Planning Tax Strategies,," F, PC ",, AIC , 10.0 , 14.5 , 14.0 ,,,,,,99,125,9,4/15/25,?,,257131,FWKK0-T-00637-24-S,na, 10.3 , 14.56 ," 92,755 "," 71,103 ",90,90,18,,,T,Taxes,03,,,,,,"1/1/19 : Increased CFP Cr, same Exam.",,,,,,,,,
4919,491924-2,491925,Guide to Federal Individual & Corporate Taxation ,," F, PC ", CFP 24.5 in '25 , INDVCORP , 24.5 , 33.5 , 33.0 ,   , ,,,,199,229,7,4/29/25,Yes,,310426,FWKK0-T-00713-25-S,na, 24.6 , 33.88 ," 221,703 "," 171,744 ",200,200,40,,,T,Taxes,03,,,,,,"5/23/23: Plus 2,347 words. 1/1/19 : Increased CFP Cr, same Exam. Each Year: Edits to Q# 1, 4, 32, 41, 42, 43",,,,,,,,,
4927,492724,492425,Partnership Taxation,, F ,, PARTNER , 7.5 , 13.5 , 13.0 ,,,,,,95,125,9,4/15/2025,no,,257138,FWKK0-T-00705-25-S,na, 7.8 , 13.70 ," 70,476 "," 43,361 ",120,120,24,,,T,Taxes,03,,,,,,"7/30/24: 7/29 author exam update done. 6/13/23: addl six words for 2023. 1/1/19 :reduced CFP Cr, same Exam.",,,,,,,,,
4928,492824,492825,Passive Losses,, F ,, PASSIVE , - , 10.5 , 10.0 ,,,,,,75,93,9,4/18/25,No,,na,FWKK0-T-00707-25-S,na, -  , 10.83 ,," 44,156 ",80,80,16,,,T,Taxes,03,,,,,,"5/23/25: Exam Q 43 should be §1.469 not 1.460. Per reviewer. 7/10/23: + 21 words for 2023. 9/16/18: edits to exam q 27, 28, and 62; edit to p 9-7",,,,,,,,,
4967,496724,496725,Pass-Through Business Deduction,, F , ,PBD,1, 2.0 , 2.0 ,,,,,,25,37,19,3/6/25,No,,257423,FWKK0-T-00673-25-S,na, 1.5 , 2.27 ," 13,383 "," 10,428 ", 15 , 15 ,3,,,T,Taxes,03,,,,,, 3/22/21: Q 8 and 15 edited by author.  10/6/20: Q 8 and 9 typo fixes per A Lane Review.4/1/19-2019 updated replaces late 2018 first edition with 496719 course number.1/1/19: new,,,,,,,,,
4908,490824,490825,Real Estate Tax Planning,, F ,   , SPRET , 7.5 , 11.0 , 11.0 ,,,,,, 79 , 97 ,9,4/15/25,no,,257139,FWKK0-T-00704-25-S,na, 7.1 , 10.97 ," 64,068 "," 45,440 ",80,80,16,,,T,Taxes,03,,,,,,6/20/23: update: minus 23 words.,,,,,,,,,
4959,495924,495925,Retirement Planning: Tax Strategies 11.5 CFP IN '26?,, F ,, FASTRACK , 12.0 , 17.5 , 17.0 , 17.0 ,,,,,125,155,9,4/26/25,Yes,,195438,FWKK0-T-00709-25-S,FWKK0-Q-00710-25-S, 11.8 , 17.53 ," 106,052 "," 77,872 ",120,120,24,,,T,Taxes,03,,,,,,7/30/24: 7/29 author exam update done. 6/20/23: PDF formatting fixes by author.,,,,,,,,,
4953,495324,495325,Small Business Tax Planning go to 18 for 2026,," F, PC ",, BUST , 19.0 , 24.0 , 24.0 ,,,,,,164,194,8,3/28/25,No,,268603,FWKK0-T-00701-25-S,na, 18.0 , 24.35 ," 162,013 "," 139,271 ",120,120,24,,,T,Taxes,03,,,,,,"7/30/24: 7/29 author exam update done. 11/23/20: edits to Q 47 and 103. 1/1/19 : Increased CFP Cr, same Exam. 4/5/16:Santucci updates of auto lease inclusion table p 5-32",,,,,,,,,
4902,490224,490225,Tax Guide to Asset Protection, 63.0 ,,, ASSETPRO ,   , 2.0 , 2.0 ,, ,,,,25,37,19,1/10/25,no,,na,FWKK0-T-00657-25-S,na,   , 2.37 ," 16,814 "," 14,636 ",10,10,2,,,T,Taxes,03,,,,,,"2/27/19: went to 10 q exam with update, reduced cpa cr to 2 .",,,,,,,,,
